module,distance,message_size,average_elapsed,best_elapsed,worst_elapsed,failed_attempts,success_rate,std_deviation
BLE,1,16,2373.3351945877075,3678.571939468384,2192.530393600464,0,100.0,458.968
BLE,1,32,2324.6803760528564,2335.751533508301,2295.515537261963,0,100.0,12.231
BLE,1,64,2489.8629426956177,2525.763750076294,2466.003894805908,0,100.0,20.02
BLE,1,128,2905.0254821777344,2938.8365745544434,2878.7357807159424,0,100.0,17.58
BLE,1,255,3685.5939149856567,3754.6491622924805,3653.514623641968,0,100.0,28.79
BLE,4,16,2210.752058029175,2233.4556579589844,2190.699338912964,0,100.0,13.754
BLE,4,32,2289.3938541412354,2312.635898590088,2277.6458263397217,0,100.0,10.813
BLE,4,64,2452.1183252334595,2478.3332347869873,2433.340311050415,0,100.0,13.865
BLE,4,128,2835.8962774276733,2847.0566272735596,2820.96004486084,0,100.0,8.958
BLE,4,255,3574.673056602478,3593.2273864746094,3563.1136894226074,0,100.0,7.764
BLE,8,16,2221.5233087539673,2247.737169265747,2191.2577152252197,0,100.0,17.296
BLE,8,32,2297.856545448303,2346.1756706237793,2282.278060913086,0,100.0,18.417
BLE,8,64,2471.3560819625854,2511.2781524658203,2433.475971221924,0,100.0,26.843
BLE,8,128,2973.4495401382446,3127.2356510162354,2840.956687927246,0,100.0,89.264
BLE,8,255,3671.9517946243286,3866.1043643951416,3592.2420024871826,0,100.0,80.833
BLE,16,16,2303.026866912842,2376.4548301696777,2231.912851333618,0,100.0,47.044
BLE,16,32,2365.074563026428,2470.0698852539062,2315.851926803589,0,100.0,46.775
BLE,16,64,2533.7287187576294,2585.8328342437744,2476.349353790283,0,100.0,29.678
BLE,16,128,2930.2629709243774,3023.5726833343506,2840.9950733184814,0,100.0,63.795
BLE,16,255,3676.6714811325073,3745.900869369507,3639.4388675689697,0,100.0,38.101
BLE,20,16,2700.02121925354,2883.413076400757,2395.4031467437744,0,100.0,152.724
BLE,20,32,3008.766770362854,3145.1668739318848,2738.2636070251465,0,100.0,129.871
BLE,20,64,3338.9408588409424,3822.3400115966797,2887.6447677612305,0,100.0,315.584
BLE,20,128,4547.7182149887085,5186.610698699951,3552.274703979492,0,100.0,522.388
BLE,20,255,7277.316927909851,8760.478973388672,5928.68447303772,0,100.0,761.549
BLUETOOTH,1,16,4382.538318634033,4551.872968673706,4292.641401290894,1,75.0,146.741
BLUETOOTH,1,32,4407.725811004639,4425.705194473267,4398.010015487671,0,100.0,12.72
BLUETOOTH,1,64,4601.463437080383,4608.955383300781,4592.6079750061035,0,100.0,7.499
BLUETOOTH,1,128,5015.248417854309,5020.029783248901,5012.082576751709,0,100.0,3.465
BLUETOOTH,1,255,5847.142696380615,5850.48770904541,5843.146085739136,0,100.0,3.398
BLUETOOTH,4,16,4305.386710166931,4344.833850860596,4280.219316482544,0,100.0,20.394
BLUETOOTH,4,32,4401.2675523757935,4422.461032867432,4386.932849884033,0,100.0,9.477
BLUETOOTH,4,64,4607.270669937134,4622.1888065338135,4596.9438552856445,0,100.0,8.156
BLUETOOTH,4,128,5021.244311332703,5037.619590759277,5013.838052749634,0,100.0,7.679
BLUETOOTH,4,255,5879.279589653015,6184.029340744019,5830.850124359131,0,100.0,107.536
BLUETOOTH,4,256,0,0,inf,10,0.0,
BLUETOOTH,8,16,4315.405106544495,4484.120607376099,4277.511835098267,0,100.0,60.385
BLUETOOTH,8,32,4399.304533004761,4410.7825756073,4394.701719284058,0,100.0,4.528
BLUETOOTH,8,64,4606.975197792053,4622.120141983032,4589.394092559814,0,100.0,10.55
BLUETOOTH,8,128,5020.824313163757,5038.475751876831,5008.0413818359375,0,100.0,10.0
BLUETOOTH,8,255,5844.825792312622,5853.8758754730225,5837.289571762085,0,100.0,6.648
BLUETOOTH,16,16,4316.628837585449,4453.816175460815,4271.806478500366,0,100.0,51.04
BLUETOOTH,16,32,4400.426983833313,4426.378965377808,4386.826276779175,0,100.0,11.016
BLUETOOTH,16,64,4605.4975509643555,4621.883153915405,4589.69259262085,0,100.0,10.322
BLUETOOTH,16,128,5020.141363143921,5034.831523895264,5010.577201843262,0,100.0,7.494
BLUETOOTH,16,255,5844.373835457696,5864.306688308716,5836.287260055542,1,90.0,8.157
BLUETOOTH,32,16,4323.415756225586,4487.595319747925,4284.092664718628,0,100.0,58.739
BLUETOOTH,32,32,4402.4033308029175,4430.733442306519,4378.724813461304,0,100.0,15.761
BLUETOOTH,32,64,4608.687162399292,4626.720666885376,4599.494934082031,0,100.0,8.285
BLUETOOTH,32,128,5026.977872848511,5038.909912109375,5013.233184814453,0,100.0,7.811
BLUETOOTH,32,255,5861.589670181274,5884.533405303955,5840.270757675171,0,100.0,14.975
BLUETOOTH,64,16,4349.278950691223,4564.401149749756,4311.689138412476,0,100.0,77.078
BLUETOOTH,64,32,4416.2285804748535,4444.802761077881,4395.0629234313965,0,100.0,17.301
BLUETOOTH,64,64,4633.668613433838,4670.436143875122,4603.221416473389,0,100.0,18.508
BLUETOOTH,64,128,5059.983444213867,5097.198009490967,5026.304006576538,0,100.0,22.349
BLUETOOTH,64,255,5909.002304077148,5963.5889530181885,5864.327669143677,0,100.0,26.767
LORA,1,16,5060.962518056233,5064.844369888306,5055.2918910980225,1,75.0,5.021
LORA,1,32,5483.373463153839,5487.147808074951,5479.252338409424,0,100.0,3.308
LORA,1,64,6575.916886329651,6579.625129699707,6569.581985473633,0,100.0,4.38
LORA,1,128,8462.711453437805,8465.359210968018,8458.802461624146,0,100.0,3.028
LORA,1,255,12189.106941223145,12193.06492805481,12185.727596282959,1,75.0,3.703
LORA,4,16,5062.129688262939,5074.542284011841,5049.785852432251,0,100.0,8.143
LORA,4,32,5480.889892578125,5484.585523605347,5478.8312911987305,0,100.0,1.955
LORA,4,64,6576.672387123108,6581.803321838379,6571.96044921875,0,100.0,3.336
LORA,4,128,8462.996983528137,8467.577457427979,8459.798574447632,0,100.0,2.805
LORA,4,255,12187.6305103302,12192.761898040771,12181.363105773926,0,100.0,3.796
LORA,4,256,0,0,inf,10,0.0,
LORA,8,16,5061.067080497742,5068.044900894165,5054.041385650635,0,100.0,4.483
LORA,8,32,5482.76093006134,5488.4233474731445,5478.322744369507,0,100.0,2.887
LORA,8,64,6578.879809379578,6583.261966705322,6573.540449142456,0,100.0,3.207
LORA,8,128,8464.050006866455,8468.971967697144,8460.133075714111,0,100.0,2.877
LORA,8,255,12187.277626991272,12192.059993743896,12183.648109436035,0,100.0,2.677
LORA,16,16,5061.413288116455,5070.5554485321045,5054.2051792144775,0,100.0,5.371
LORA,16,32,5482.493472099304,5490.492820739746,5477.320671081543,0,100.0,5.057
LORA,16,64,6575.572919845581,6579.7975063323975,6571.951150894165,0,100.0,2.333
LORA,16,128,8463.044285774231,8466.746807098389,8459.648370742798,0,100.0,2.688
LORA,16,255,12187.475514411926,12192.026615142822,12180.803537368774,0,100.0,3.586
LORA,32,16,5059.005355834961,5072.82567024231,5050.5571365356445,0,100.0,6.521
LORA,32,32,5482.085108757019,5490.2050495147705,5476.467132568359,0,100.0,4.682
LORA,32,64,6575.956869125366,6579.821825027466,6573.710203170776,0,100.0,1.866
LORA,32,128,8461.824131011963,8465.14892578125,8459.258317947388,0,100.0,1.833
LORA,32,255,12185.423135757446,12189.576864242554,12181.67233467102,0,100.0,2.844
LORA,64,16,5064.328193664551,5070.230007171631,5051.329851150513,0,100.0,6.058
LORA,64,32,5483.373999595642,5488.835573196411,5480.043888092041,0,100.0,2.893
LORA,64,64,6606.404900550842,6706.721544265747,6566.775321960449,0,100.0,51.184
LORA,64,128,8452.716159820557,8466.590642929077,8430.6058883667,0,100.0,12.84
LORA,64,255,12176.445722579956,12181.311845779419,12166.949033737183,0,100.0,4.005
LORA,128,16,5058.905792236328,5063.872575759888,5053.009033203125,0,100.0,3.448
LORA,128,32,5483.232569694519,5489.567041397095,5479.020118713379,0,100.0,3.934
LORA,128,64,6578.374719619751,6585.458755493164,6574.898242950439,0,100.0,3.037
LORA,128,128,8461.902570724487,8467.294216156006,8457.733631134033,0,100.0,3.028
LORA,128,255,12188.054156303406,12192.235469818115,12184.622764587402,0,100.0,3.166
NRF24L01,1,16,2124.3544578552246,2134.8350048065186,2111.074447631836,0,100.0,7.529
NRF24L01,1,32,2202.873706817627,2211.928367614746,2197.016477584839,0,100.0,5.109
NRF24L01,1,64,2357.030248641968,2362.504005432129,2352.3292541503906,0,100.0,3.437
NRF24L01,1,128,2669.756817817688,2676.424264907837,2664.4718647003174,0,100.0,3.731
NRF24L01,1,255,3290.89994430542,3293.3428287506104,3288.90061378479,0,100.0,1.605
NRF24L01,2,16,2126.5324115753174,2138.101816177368,2117.447853088379,0,100.0,7.91
NRF24L01,2,32,2209.1845750808716,2215.8262729644775,2200.598955154419,0,100.0,6.093
NRF24L01,2,64,2357.175588607788,2361.469030380249,2354.0024757385254,0,100.0,2.304
NRF24L01,2,128,2667.3744678497314,2670.8812713623047,2663.1088256835938,0,100.0,2.339
NRF24L01,2,255,3289.9875164031982,3292.5689220428467,3287.257432937622,0,100.0,1.845
NRF24L01,8,16,2129.1049003601074,2149.0864753723145,2121.694803237915,0,100.0,8.08
NRF24L01,8,32,2204.8452615737915,2214.7278785705566,2198.615074157715,0,100.0,5.198
NRF24L01,8,64,2358.067727088928,2362.3642921447754,2355.6113243103027,0,100.0,2.31
NRF24L01,8,128,2669.944381713867,2674.4744777679443,2665.4794216156006,0,100.0,3.256
NRF24L01,8,255,3289.865016937256,3293.9512729644775,3285.7985496520996,0,100.0,2.681
NRF24L01,16,16,2128.5502195358276,2139.7271156311035,2113.6631965637207,0,100.0,8.697
NRF24L01,16,32,2204.865884780884,2208.6844444274902,2201.526641845703,0,100.0,2.271
NRF24L01,16,64,2358.9149236679077,2363.8596534729004,2353.759765625,0,100.0,3.103
NRF24L01,16,128,2670.105481147766,2673.433542251587,2666.490316390991,0,100.0,2.196
NRF24L01,16,255,3290.117073059082,3295.037031173706,3285.7468128204346,0,100.0,2.603
NRF24L01,32,16,2133.493447303772,2146.0907459259033,2122.3528385162354,0,100.0,8.543
NRF24L01,32,32,2208.3887338638306,2218.519687652588,2201.2858390808105,0,100.0,5.613
NRF24L01,32,64,2357.9930305480957,2361.396551132202,2352.628469467163,0,100.0,2.607
NRF24L01,32,128,2672.187829017639,2677.905559539795,2667.684316635132,0,100.0,2.68
NRF24L01,32,255,3298.4137296676636,3315.6027793884277,3289.9134159088135,0,100.0,8.802
NRF24L01_EXT,2,16,2126.5324115753174,2138.101816177368,2117.447853088379,0,100.0,7.91
NRF24L01_EXT,2,32,2209.1845750808716,2215.8262729644775,2200.598955154419,0,100.0,6.093
NRF24L01_EXT,2,64,2357.175588607788,2361.469030380249,2354.0024757385254,0,100.0,2.304
NRF24L01_EXT,2,128,2667.3744678497314,2670.8812713623047,2663.1088256835938,0,100.0,2.339
NRF24L01_EXT,2,255,3289.9875164031982,3292.5689220428467,3287.257432937622,0,100.0,1.845
NRF24L01_EXT,8,16,2130.225729942322,2139.9080753326416,2112.942934036255,0,100.0,10.93
NRF24L01_EXT,8,32,2204.9664735794067,2214.2176628112793,2198.770523071289,0,100.0,5.443
NRF24L01_EXT,8,64,2357.071805000305,2360.222101211548,2352.7164459228516,0,100.0,2.408
NRF24L01_EXT,8,128,2669.9382305145264,2672.2652912139893,2668.0026054382324,0,100.0,1.124
NRF24L01_EXT,8,255,3288.521194458008,3292.2236919403076,3285.783290863037,0,100.0,1.988
NRF24L01_EXT,16,16,2123.548698425293,2135.892152786255,2111.845016479492,0,100.0,8.56
NRF24L01_EXT,16,32,2206.6068172454834,2216.5451049804688,2200.000524520874,0,100.0,6.359
NRF24L01_EXT,16,64,2358.1023454666138,2360.5966567993164,2352.386951446533,0,100.0,2.545
NRF24L01_EXT,16,128,2670.7866191864014,2675.261974334717,2666.9702529907227,0,100.0,2.672
NRF24L01_EXT,16,255,3288.925552368164,3295.2611446380615,3284.2342853546143,0,100.0,3.323
NRF24L01_EXT,32,16,2127.8671264648438,2140.3934955596924,2117.5670623779297,0,100.0,7.959
NRF24L01_EXT,32,32,2204.066276550293,2208.7655067443848,2198.867082595825,0,100.0,3.813
NRF24L01_EXT,32,64,2358.889389038086,2362.2653484344482,2354.4352054595947,0,100.0,2.253
NRF24L01_EXT,32,128,2669.5159435272217,2671.6434955596924,2666.9631004333496,0,100.0,1.381
NRF24L01_EXT,32,255,3291.7511224746704,3297.285795211792,3285.269260406494,0,100.0,3.782
NRF24L01_EXT,64,16,2137.9428148269653,2144.988775253296,2122.1866607666016,0,100.0,6.201
NRF24L01_EXT,64,32,2205.7576656341553,2212.681531906128,2200.2456188201904,0,100.0,3.902
NRF24L01_EXT,64,64,2358.771300315857,2360.614776611328,2357.227563858032,0,100.0,1.455
NRF24L01_EXT,64,128,2670.4041481018066,2674.190044403076,2666.8801307678223,0,100.0,2.383
NRF24L01_EXT,64,255,3289.442729949951,3295.1014041900635,3285.125732421875,0,100.0,2.96
NRF24L01_EXT,128,16,2126.896119117737,2138.538122177124,2113.722324371338,0,100.0,9.412
NRF24L01_EXT,128,32,2202.618408203125,2207.3426246643066,2198.4755992889404,0,100.0,2.728
NRF24L01_EXT,128,64,2358.177161216736,2362.468481063843,2354.433536529541,0,100.0,2.867
NRF24L01_EXT,128,128,2669.688296318054,2673.6013889312744,2666.916608810425,0,100.0,1.875
NRF24L01_EXT,128,255,3289.5581007003784,3293.497085571289,3286.943197250366,0,100.0,2.266
RF,1,16,2625.6693840026855,2631.908416748047,2618.0317401885986,0,100.0,5.05
RF,1,32,2844.480323791504,2849.2431640625,2839.9643898010254,0,100.0,3.34
RF,1,64,3499.994569354587,3504.228353500366,3496.4630603790283,1,90.0,2.969
RF,1,128,4691.666841506958,4693.559885025024,4690.41895866394,5,50.0,1.242
RF,1,255,7054.718780517578,7057.608366012573,7050.2519607543945,5,50.0,2.83
RF,4,16,2621.971297264099,2632.7157020568848,2613.1904125213623,0,100.0,5.582
RF,4,32,2845.0698614120483,2849.4787216186523,2841.071367263794,0,100.0,2.856
RF,4,64,3499.6466636657715,3503.8669109344482,3496.521234512329,4,60.0,2.448
RF,4,128,4692.139744758606,4696.022987365723,4687.458753585815,4,60.0,3.651
RF,4,255,0,0,inf,10,0.0,
RF,8,16,2624.117374420166,2633.906126022339,2617.69962310791,0,100.0,5.733
RF,8,32,2844.3429470062256,2847.7160930633545,2839.259386062622,0,100.0,2.391
RF,8,64,3498.1250166893005,3501.8396377563477,3496.440887451172,6,40.0,2.519
RF,8,128,4690.843900044759,4693.896532058716,4687.886953353882,4,60.0,2.355
RF,8,255,0,0,inf,10,0.0,
RF,16,16,2622.9293048381805,2633.014678955078,2614.192008972168,2,80.0,6.573
RF,16,32,2844.8344945907593,2849.064826965332,2840.6527042388916,0,100.0,2.367
RF,16,64,3498.0223178863525,3498.5499382019043,3497.494697570801,8,20.0,0.746
RF,16,128,4688.659906387329,4690.340757369995,4686.7101192474365,7,30.0,1.83
RF,16,255,7055.142641067505,7055.142641067505,7055.142641067505,9,10.0,
RF,32,16,2620.257592201233,2630.286931991577,2612.950325012207,0,100.0,6.124
RF,32,32,2843.9090490341187,2849.494695663452,2840.7962322235107,0,100.0,2.682
RF,32,64,3501.78325176239,3502.476215362549,3501.0902881622314,8,20.0,0.98
RF,32,128,4690.623939037323,4693.367958068848,4686.508655548096,6,40.0,2.912
RF,32,255,0,0,inf,10,0.0,
RF,64,16,2625.8116483688354,2633.000612258911,2618.243932723999,0,100.0,5.536
RF,64,32,2842.3534631729126,2848.012924194336,2838.5658264160156,0,100.0,3.414
RF,64,64,3499.9258518218994,3502.922773361206,3497.154951095581,5,50.0,2.103
RF,64,128,4688.121835390727,4690.685987472534,4685.15944480896,4,60.0,2.321
RF,64,255,7056.034564971924,7056.823968887329,7054.458856582642,7,30.0,1.365
RF,128,16,2626.9173092312285,2632.7736377716064,2619.7385787963867,1,90.0,4.124
RF,128,32,2843.250619040595,2845.958709716797,2839.911699295044,1,90.0,2.186
RF,128,64,3498.719835281372,3502.5150775909424,3496.901273727417,5,50.0,2.295
RF,128,128,4689.852595329285,4691.905736923218,4687.201261520386,4,60.0,1.636
RF,128,255,7054.314238684518,7057.475566864014,7051.2261390686035,3,70.0,2.242
RF_2,1,16,2624.805426597595,2630.2037239074707,2617.959976196289,0,100.0,4.069
RF_2,1,32,2843.8562154769897,2849.766254425049,2840.0278091430664,0,100.0,3.13
RF_2,1,64,3499.3511140346527,3504.1072368621826,3495.936155319214,2,80.0,3.379
RF_2,1,128,4690.747703824724,4692.986249923706,4687.0057582855225,3,70.0,1.972
RF_2,1,255,7055.736740430196,7059.165954589844,7052.8929233551025,4,60.0,2.509
RF_OLD,1,16,2627.2189617156982,2633.5830688476562,2613.32106590271,0,100.0,5.613
RF_OLD,1,32,2844.785690307617,2851.559638977051,2841.5615558624268,0,100.0,2.737
RF_OLD,1,64,3499.8284101486206,3502.3200511932373,3495.849370956421,0,100.0,2.192
RF_OLD,1,128,4687.774181365967,4692.704200744629,4682.081460952759,1,90.0,2.833
RF_OLD,1,255,7054.763283048357,7058.391809463501,7050.73881149292,3,70.0,3.338
RF_OLD,4,16,2627.2103548049927,2634.324073791504,2615.344524383545,0,100.0,5.667
RF_OLD,4,32,2844.9559211730957,2848.8011360168457,2842.022657394409,0,100.0,2.41
RF_OLD,4,64,3499.680757522583,3502.379894256592,3497.9217052459717,5,50.0,2.101
RF_OLD,4,128,4692.159032821655,4693.388938903809,4691.012144088745,5,50.0,0.918
RF_OLD,4,255,7055.2330357687815,7058.664083480835,7053.5078048706055,3,70.0,1.855
RF_OLD,8,16,2621.8496561050415,2633.883476257324,2611.4633083343506,0,100.0,8.002
RF_OLD,8,32,2845.0687726338706,2852.4906635284424,2839.254140853882,1,90.0,4.329
RF_OLD,8,64,3499.211311340332,3502.7618408203125,3496.6044425964355,2,80.0,2.046
RF_OLD,8,128,4690.805037816365,4691.754579544067,4689.593553543091,7,30.0,1.104
RF_OLD,8,255,7054.1376045772,7056.3061237335205,7052.369117736816,3,70.0,1.46
RF_OLD,16,16,2619.853417078654,2631.399393081665,2613.9180660247803,7,30.0,10.0
RF_OLD,16,32,2841.5573596954346,2844.165563583374,2840.2998447418213,5,50.0,1.542
RF_OLD,16,64,3498.204755783081,3500.467538833618,3495.8925247192383,5,50.0,1.752
RF_OLD,16,128,0,0,inf,10,0.0,
RF_OLD,16,255,0,0,inf,10,0.0,
RF_OLD,32,16,2627.36439704895,2627.36439704895,2627.36439704895,9,10.0,
RF_OLD,32,32,2844.439744949341,2844.439744949341,2844.439744949341,9,10.0,
RF_OLD,32,64,0,0,inf,10,0.0,
RF_OLD,32,128,0,0,inf,10,0.0,
RF_OLD,32,255,0,0,inf,10,0.0,
RF_OLD,64,16,0,0,inf,10,0.0,
RF_OLD,64,32,0,0,inf,10,0.0,
RF_OLD,64,64,0,0,inf,10,0.0,
RF_OLD,64,128,0,0,inf,10,0.0,
RF_OLD,64,255,0,0,inf,10,0.0,
XBEE,1,16,135.966956615448,141.8321132659912,130.202054977417,0,100.0,4.826
XBEE,1,32,2902.9208421707153,9520.184516906738,211.13991737365723,0,100.0,4429.529
XBEE,1,64,2506.0346126556396,7619.605779647827,323.46391677856445,0,100.0,3473.224
XBEE,1,128,706.4507007598877,706.4507007598877,706.4507007598877,3,25.0,
XBEE,1,255,6100.445628166199,7769.949913024902,4430.941343307495,2,50.0,2361.036
XBEE,4,16,132.4056088924408,143.36848258972168,122.40362167358398,2,80.0,5.881
XBEE,4,32,1289.527204301622,9957.022190093994,193.54248046875,1,90.0,3250.317
XBEE,4,64,467.34002232551575,1341.7389392852783,335.7253074645996,2,80.0,353.406
XBEE,4,128,714.2245428902762,722.8415012359619,700.141191482544,3,70.0,8.334
XBEE,4,255,2500.440756479899,3406.430959701538,2039.0448570251465,7,30.0,784.656
XBEE,8,1,1372.0827367570664,9922.432661056519,67.65007972717285,1,90.0,3259.429
XBEE,8,16,141.05165004730225,151.31092071533203,128.93176078796387,2,80.0,9.846
XBEE,8,32,200.55994391441345,211.87663078308105,194.6852207183838,2,80.0,6.212
XBEE,8,64,1417.7723990546333,9037.313461303711,339.74146842956543,1,90.0,2865.357
XBEE,8,128,713.8389519282749,724.0803241729736,705.9776782989502,3,70.0,7.295
XBEE,8,255,1392.8875128428142,1397.1903324127197,1386.6198062896729,7,30.0,5.552
XBEE,16,1,926.877498626709,4009.3960762023926,67.38877296447754,1,90.0,1672.908
XBEE,16,16,1240.7555050320095,8497.450828552246,128.91793251037598,1,90.0,2744.547
XBEE,16,32,1361.5994718339707,7104.51865196228,204.664945602417,1,90.0,2263.885
XBEE,16,64,1459.6485296885173,9424.689054489136,335.94274520874023,1,90.0,3004.38
XBEE,16,128,711.1198561532157,723.534107208252,692.6970481872559,3,70.0,10.712
XBEE,16,255,1377.137263615926,1377.988576889038,1376.6918182373047,7,30.0,0.738
XBEE,32,1,982.1257591247559,8192.994594573975,67.08383560180664,1,90.0,2704.09
XBEE,32,16,2115.791618824005,8741.71781539917,132.34615325927734,2,80.0,3685.549
XBEE,32,32,1109.251446194119,8347.554206848145,195.1284408569336,1,90.0,2714.377
XBEE,32,64,2010.2480782402886,7702.035665512085,332.8568935394287,1,90.0,3057.684
XBEE,32,128,2200.468267713274,9186.116695404053,705.4662704467773,3,70.0,3164.656
XBEE,32,255,1717.909574508667,1717.909574508667,1717.909574508667,9,10.0,
XBEE,32,256,0,0,inf,10,0.0,
XBEE,64,16,959.0809345245361,7101.80401802063,130.39422035217285,1,90.0,2308.241
XBEE,64,32,2242.4027389950224,9039.758205413818,194.9629783630371,1,90.0,3684.408
XBEE,64,64,1818.062490887112,7706.863880157471,324.30124282836914,1,90.0,2962.622
XBEE,64,128,2203.5362039293564,9212.310314178467,696.2101459503174,3,70.0,3174.343
XBEE,64,255,6600.43078660965,12546.067476272583,1861.0589504241943,6,40.0,4989.7
XBEE,128,16,133.90285628182548,139.9402618408203,129.87089157104492,3,70.0,3.689
XBEE,128,32,278.41247831072127,680.9232234954834,205.37090301513672,3,70.0,177.553
XBEE,128,64,570.6481039524078,1266.7999267578125,336.9178771972656,2,80.0,347.994
XBEE,128,128,707.6497077941895,717.705249786377,695.725679397583,3,70.0,7.941
XBEE,128,255,7231.6221714019775,13199.859380722046,3780.9829711914062,5,50.0,4179.17
